,Location,Country,Date,1oHazard,2oHazard,Dead,Party,Sport
62,Zwölferkogel,Austria,2019-02-23,Wind slab,,1,2,Mountaineering/Climbing
63,Laserztörl,Austria,2019-01-19,Persistent weak layer,Wind slab,1,2,Backcountry skiing
64,Steißbachtal - Grube,Austria,2019-01-09,New snow,None,1,4,Off-piste skiing
65,Hohe Mut,Austria,2018-12-25,Persistent weak layer,,1,2,Off-piste skiing
66,Hintertuxer Gletscher,Austria,2018-12-13,Wind slab,,1,4,Off-piste skiing
67,Ochsenälpeleskopf,Germany,2019-02-23,Gliding snow,,2,5,Backcountry skiing
68,Teisenberg,Germany,2019-01-05,New snow,,1,6,Backcountry skiing
69,,Switzerland,2019-07-01,,,2,0,Controlled
70,,Switzerland,2019-07-01,,,19,0,Uncontrolled
71,Val d\\\'Aran,Spain,2019-01-26,Wind slab,Persistent weak layer,1,0,Off-piste skiing
72,,France,2019-07-01,,,13,0,Other
73,,Slovakia,2019-07-01,,,4,0,Uncontrolled
74,Mallnitz - Krumpe Tal,Austria,2019-01-15,Wind slab,,1,2,Mountaineering/Climbing
75,Călimani Mt,Romania,2019-02-03,Wet snow,,1,3,Snowmobiling
76,"Bucegi Mt, Morarului Valley",Romania,2018-12-09,Wind slab,,2,2,
77,Blåbærfjellet,Norway,2019-01-02,Wind slab,Persistent weak layer,4,4,Backcountry skiing
78,Signesdalsfjellet,Norway,2019-02-04,,,1,4,Snowmobiling
79,Brunstadhornet,Norway,2019-03-09,New snow,,1,2,Backcountry skiing
80,Storfjellet,Norway,2019-03-10,Wind slab,,1,2,Backcountry skiing
81,Dumålstinden,Norway,2019-03-26,Wind slab,Persistent weak layer,2,2,Travelling on road
82,Reingjerdfjellet,Norway,2019-04-01,Wind slab,Persistent weak layer,1,4,Snowmobiling
83,1237,Norway,2019-04-09,New snow,Wet snow,1,3,Backcountry skiing
84,Kamkrona,Norway,2019-05-17,,,2,2,Backcountry skiing
85,"Rax, Ottohaus, Törlweg",Austria,2019-03-23,Wet snow,,1,2,Hiking on foot or snowshoeing
86,Allas,Austria,2019-02-03,Wind slab,New snow,1,2,Other
87,Großer Schober,Austria,2019-01-27,Wind slab,,1,1,Backcountry skiing
88,"Rüfikopf - Variante \""Wasserschloss\"" Richtung Wöstertäli",Austria,2019-01-12,Wind slab,Gliding snow,4,4,Off-piste skiing
89,Damüls - freier Schiraum westl. Hinterargenalpe,Austria,2019-01-06,Wind slab,,1,2,Off-piste skiing
90,Schoppernau: Diedamskopf - freier Schiraum,Austria,2019-01-06,New snow,,1,2,Off-piste skiing
91,"Lahngang, Abtenau",Austria,2019-01-05,Wind slab,,2,2,Hiking on foot or snowshoeing
92,Stadelberg/Gschwendhütte/Steinparztal,Austria,2019-01-05,,,2,2,
93,Oberlercherspitze,Austria,2019-05-07,Persistent weak layer,,1,1,Backcountry skiing
94,Colle Pillont,Italy,2018-12-08,Wind slab,Wind slab,1,1,Backcountry skiing
95,Monte Spico,Italy,2019-01-19,Wind slab,Wind slab,1,6,Backcountry skiing
96,Canale dello spagnolo,Italy,2019-02-03,Wind slab,Wind slab,4,4,Backcountry skiing
97,Croda Rossa di Sesto,Italy,2019-02-03,New snow,New snow,1,1,On skiruns
98,Punta Ollietta,Italy,2019-02-03,Wind slab,Wind slab,1,3,Off-piste skiing
99,Livigno,Italy,2019-02-03,New snow,New snow,1,1,On skiruns
100,Monte Coglians,Italy,2019-02-05,Wind slab,Wind slab,1,1,Backcountry skiing
101,Alpi Cozie / Gruppo Queyron Albergian Sestriere / Monte Morefreddo / Loc. Bric del cucù,Italy,2019-02-05,New snow,New snow,1,0,Backcountry skiing
102,Dolomiti / Gruppo del Puez,Italy,2019-01-19,Wind slab,Wind slab,1,1,Backcountry skiing
103,Pista Lazaum / Maso Corto,Italy,2019-03-16,Wind slab,Wind slab,1,0,Mountaineering/Climbing
104,Prealpi vicentine / Massiccio del Pasubio / Monte del Pasubio,Italy,2019-04-21,New snow,New snow,1,1,Hiking on foot or snowshoeing
105,Alpi retiche Meridionali / Gruppo Ortles Cevedale / Punta San Matteo,Italy,2019-06-15,Wet snow,Wet snow,1,3,Mountaineering/Climbing
106,Schober Lahngang,Austria,2019-01-05,New snow,,2,2,Hiking on foot or snowshoeing
107,Rettenbachferner,Austria,2019-11-09,Persistent weak layer,Wind slab,2,3,Off-piste skiing
108,Gamskarspitze,Austria,2019-12-31,Persistent weak layer,,1,4,Mountaineering/Climbing
