Location,Country,Date,Avalanche Problem 1,Avalanche Problem 2,Dead,Group Size,Type
"Gråfonnfjellet
Details",Norway,2020-05-24 12:00:00,Wet snow,Gliding snow,1,3.0,Backcountry skiing
"Vars
Details",France,2019-12-14 16:30:00,Wind slab,New snow,1,3.0,Off-piste skiing
"Revel.
Details",France,2020-01-02 00:00:00,Wind slab,,2,2.0,Backcountry skiing
"Les Houches
Details",France,2020-01-29 11:30:00,New snow,Wind slab,1,6.0,Off-piste skiing
"La toussuire
Details",France,2020-01-30 16:00:00,Wind slab,Wet snow,2,3.0,Off-piste skiing
"Vallorcine
Details",France,2020-03-01 12:00:00,Wind slab,,1,3.0,Off-piste skiing
"La Plagne
Details",France,2020-03-06 12:30:00,Wet snow,New snow,1,3.0,Off-piste skiing
"Barèges
Details",France,2020-03-15 13:00:00,Wet snow,,2,7.0,Backcountry skiing
"Valmeinier
Details",France,2020-01-24 12:45:00,Wind slab,Persistent weak layer,1,6.0,Backcountry skiing
"Valle di Champorcher - sotto linea impianto Cimetta Rossa
Details",Italy,2019-11-24 08:46:00,Wet snow,Wet snow,1,1.0,Off-piste skiing
"Șerbota
Details",Romania,2020-03-06 13:00:00,New snow,,1,11.0,Backcountry skiing
"Lammereis - Kleinglocknerkees
Details",Austria,2020-03-08 10:30:00,Wind slab,,1,,Mountaineering/Climbing
"Chamonix, couloir Gervasutti
Details",France,2020-05-31 12:45:00,,,1,2.0,Backcountry skiing
"Großvenediger
Details",Austria,2020-10-10 00:00:00,Persistent weak layer,,1,1.0,Mountaineering/Climbing
"Titlis
Details",Switzerland,2020-12-07 10:15:00,,,1,,
"Crans Montana
Details",Switzerland,2020-12-08 12:00:00,,,1,,
"Saas Fee
Details",Switzerland,2020-12-10 13:00:00,,,1,,
"Bedretto
Details",Switzerland,2020-12-13 12:00:00,,,1,,
"Eggenmanndli
Details",Switzerland,2020-12-17 12:50:00,,,1,,
"Stuben-Albonagrat \\
Details",Austria,2020-12-14 14:00:00,Persistent weak layer,Wind slab,1,1.0,Backcountry skiing
"Tromsdalstinden
Details",Norway,2020-12-06 13:51:00,Wind slab,,1,1.0,Hiking on foot or snowshoeing
"Maso corto/Val Senales
Details",Italy,2021-01-03 12:30:00,Wind slab,New snow,2,2.0,Off-piste skiing
"Chasseral, La Corne
Details",Switzerland,2020-12-31 12:00:00,,,1,,
"Les Louerettes
Details",Switzerland,2020-12-29 12:00:00,,,1,,
"Val Travenanzes gruppo tofane
Details",Italy,2021-01-09 12:30:00,Persistent weak layer,Wind slab,1,3.0,Off-piste skiing
"Costa del Palio
Details",Italy,2021-01-13 10:25:00,Wind slab,Wind slab,1,2.0,Off-piste skiing
"Torrione Roma
Details",Italy,2021-01-14 15:00:00,Wind slab,Wind slab,1,1.0,Off-piste skiing
"Crampiolo
Details",Italy,2021-01-16 15:00:00,Wind slab,Wind slab,2,2.0,Off-piste skiing
"Emmetten
Details",Switzerland,2021-01-15 12:20:00,,,1,,
"Klosters-Serneus
Details",Switzerland,2021-01-16 15:00:00,,,1,,
"Engelberg
Details",Switzerland,2021-01-16 10:45:00,,,1,,
"Morschach
Details",Switzerland,2021-01-16 09:55:00,,,1,,
"Veytaux
Details",Switzerland,2021-01-17 15:45:00,,,1,,
"Gstaad
Details",Switzerland,2021-01-17 15:00:00,,,1,,
"Val de Bagnes
Details",Switzerland,2021-01-18 10:20:00,,,1,,
"Nendaz
Details",Switzerland,2021-01-18 12:30:00,,,1,,
"Sandkogel
Details",Austria,2021-01-15 13:40:00,Wind slab,,1,2.0,Backcountry skiing
"San Isidro
Details",Spain,2021-01-01 00:00:00,,,2,3.0,Travelling on road
"Jeseníky, Velký Kotel
Details",Czechia,2021-01-15 12:50:00,Wind slab,Persistent weak layer,1,3.0,Backcountry skiing
"malga boschetto - Val Camonica- Mortirolo
Details",Italy,2021-01-24 15:00:00,Wind slab,Wind slab,1,5.0,Snowmobiling
"Wanglspitze
Details",Austria,2021-01-20 11:52:00,Persistent weak layer,Wind slab,1,2.0,Off-piste skiing
"Le Monêtier les bains
Details",France,2020-12-22 12:15:00,Persistent weak layer,Wet snow,1,5.0,Backcountry skiing
"St Bon Tarentaise
Details",France,2021-01-13 15:44:00,,,1,1.0,Backcountry skiing
